code;parent;label-de_DE;label-en_US;label-fr_FR
master;;Hauptkatalog;"Master catalog";"Catalogue principal"
tvs_projectors;master;"TVs und projectoren";"TVs and projectors";"Téléviseurs et projecteurs"
pc_monitors;tvs_projectors;"PC Monitoren";"PC Monitors";"Moniteurs PC"
led_tvs;tvs_projectors;"TVs LED";"LED TVs";"Télévisions LED"
cameras;master;Cameras;Cameras;Caméras
digital_cameras;cameras;"Digitale Kameras";"Digital cameras";"Caméras digitales"
camcorders;cameras;"Digitale Videokameras";Camcorders;"Caméscopes numériques"
webcams;cameras;Webcams;Webcams;Webcams
audio_video;master;"Audio und Video";"Audio and Video";"Audio et Video"
headphones;audio_video;Kopfhörer;Headphones;"Casques audio"
mp3_players;audio_video;"MP3/MP4 Player";"MP3 players";"Lecteurs et enregistreurs MP3"
loudspeakers;audio_video;Lautsprecher;Loudspeakers;Hauts-parleurs
print_scan;master;"Drucken und Scannen";"Print and scan";"Imprimantes et scanners"
multifunctionals;print_scan;Multifunktionsgeräte;Multifunctionals;Multifonctions
laser_led_printers;print_scan;Laserdrucker;"Laser and LED printers";"Imprimantes laser et LED"
scanners;print_scan;Scanners;Scanners;Scanners
clothes;master;Kleidung;Clothes;Vêtements
pants;clothes;Hose;Pants;Pantalons
jeans;pants;Jeans;Jeans;Jeans
